************** DUMPSYS MEMINFO REPORT: tv.fun.settings
[dalvik.vm.heapgrowthlimit]: [96m]
[dalvik.vm.heapsize]: [256m]
[dalvik.vm.heapstartsize]: [8m]
Time,MemTotal(Pss),HeapSize,HeapAlloc,AppActivities,AppViews
16-06-21 15:14:08,84846K,87656K,70431K,2,205
16-06-21 15:14:14,84814K,87656K,70430K,2,205
16-06-21 15:14:20,84802K,87656K,70428K,2,205
16-06-21 15:14:25,84786K,87660K,70427K,2,205
16-06-21 15:14:31,84774K,87656K,70428K,2,205
16-06-21 15:14:36,84682K,87656K,70504K,2,205
16-06-21 15:14:41,84826K,87656K,70431K,2,205
16-06-21 15:14:46,84806K,87656K,70432K,2,205
16-06-21 15:14:52,84814K,87660K,70430K,2,205
16-06-21 15:14:57,84846K,87656K,70430K,2,205
16-06-21 15:15:02,84810K,87656K,70431K,2,205
16-06-21 15:15:08,84782K,87656K,70428K,2,205
16-06-21 15:15:14,84810K,87660K,70428K,2,205
16-06-21 15:15:19,84790K,87656K,70426K,2,205
16-06-21 15:15:25,84814K,87656K,70427K,2,205
16-06-21 15:15:31,84718K,87656K,62326K,2,205
16-06-21 15:15:36,84722K,87656K,70506K,2,205
16-06-21 15:15:41,84846K,87660K,70430K,2,205
16-06-21 15:15:46,84834K,87656K,70432K,2,205
16-06-21 15:15:52,84822K,87656K,70430K,2,205
16-06-21 15:15:57,84810K,87656K,70429K,2,205
16-06-21 15:16:03,84802K,87660K,70428K,2,205
16-06-21 15:16:08,84798K,87656K,70428K,2,205
16-06-21 15:16:14,84822K,87656K,70428K,2,205
16-06-21 15:16:20,84834K,87656K,70429K,2,205
16-06-21 15:16:25,84758K,87656K,70506K,2,205
16-06-21 15:16:30,84814K,87656K,70431K,2,205
16-06-21 15:16:36,84878K,87656K,70430K,2,205
16-06-21 15:16:41,84890K,87656K,70431K,2,205
16-06-21 15:16:46,76762K,79556K,62329K,2,205
16-06-21 15:16:52,84874K,87660K,70429K,2,205
16-06-21 15:16:57,84826K,87656K,70428K,2,205
16-06-21 15:17:04,84846K,87656K,70428K,2,205
16-06-21 15:17:09,84838K,87656K,70428K,2,205
16-06-21 15:17:15,84838K,87660K,70427K,2,205
16-06-21 15:17:20,84814K,87656K,70429K,2,205
16-06-21 15:17:26,84762K,87656K,70506K,2,205
16-06-21 15:17:31,84794K,87656K,70431K,2,205
16-06-21 15:17:36,84834K,87656K,70429K,2,205
16-06-21 15:17:41,84882K,87660K,70429K,2,205
16-06-21 15:17:47,84854K,87656K,70430K,2,205
16-06-21 15:17:52,84878K,87656K,70430K,2,205
16-06-21 15:17:57,84870K,87656K,70429K,2,205
16-06-21 15:18:03,84878K,87660K,70427K,2,205
16-06-21 15:18:09,84842K,87656K,70429K,2,205
16-06-21 15:18:15,84846K,87656K,70427K,2,205
16-06-21 15:18:21,84834K,87656K,70427K,2,205
16-06-21 15:18:26,84742K,87656K,70504K,2,205
16-06-21 15:18:31,84890K,87660K,70430K,2,205
16-06-21 15:18:36,84846K,87656K,70430K,2,205
16-06-21 15:18:42,84926K,87656K,70430K,2,205
16-06-21 15:18:47,84918K,87656K,70432K,2,205
16-06-21 15:18:53,84938K,87660K,70429K,2,205
16-06-21 15:18:58,84918K,87656K,70429K,2,205
16-06-21 15:19:04,84914K,87656K,70428K,2,205
************** DUMPSYS MEMINFO REPORT END
