User,System,IOW,IRQ
13%,24%,0%,0%
22%,42%,0%,1%
31%,28%,0%,0%
4%,6%,0%,0%
36%,30%,0%,0%
16%,25%,0%,0%
20%,23%,0%,0%
32%,30%,0%,0%
7%,10%,0%,0%
37%,30%,0%,0%
26%,38%,0%,1%
6%,8%,0%,0%
40%,33%,0%,0%
20%,28%,0%,0%
20%,25%,0%,0%
40%,27%,0%,0%
7%,10%,0%,0%
34%,32%,0%,0%
38%,35%,0%,0%
9%,18%,0%,0%
29%,28%,0%,0%
19%,32%,0%,1%
15%,25%,0%,0%
44%,27%,0%,0%
11%,12%,0%,0%
32%,32%,0%,0%
27%,37%,0%,0%
7%,15%,0%,0%
35%,23%,0%,1%
26%,24%,0%,0%
14%,30%,0%,0%
42%,34%,0%,0%
9%,11%,0%,0%
27%,30%,0%,0%
39%,41%,0%,0%
5%,14%,0%,0%
24%,22%,0%,0%
