指定应用的CPU内存监控情况
应用包名：,tv.fun.launcher
应用名称: ,tv.fun.launcher
应用PID: ,5207
机器内存大小(MB)：,739.88MB
机器CPU型号：, ARMv7 Processor rev 3 (v7l)
机器android系统版本：,4.2.2
手机型号：,M8_SDK1.0
UID：,10000
时间,应用占用内存PSS(MB),应用占用内存比(%), 机器剩余内存(MB),应用占用CPU率(%),CPU总使用率(%),流量(KB),电量(%),电流(mA),温度(C),电压(V)
2014-11-28 16:13:40,62.40,8.43,347.04,1.69,46.11,431,0%,0mA,30.0,0.001
2014-11-28 16:13:46,57.40,7.76,347.27,11.49,85.23,612,0%,0mA,30.0,0.001
2014-11-28 16:13:52,76.54,10.34,345.57,25.56,83.69,1421,0%,0mA,30.0,0.001
2014-11-28 16:13:57,81.70,11.04,324.61,14.26,77.15,1714,0%,0mA,30.0,0.001
2014-11-28 16:14:02,96.98,13.11,304.06,11.11,38.32,1822,0%,0mA,30.0,0.001
2014-11-28 16:14:08,95.61,12.92,304.66,0.78,14.01,1822,0%,0mA,30.0,0.001
2014-11-28 16:14:13,95.61,12.92,304.84,0.67,15.99,1822,0%,0mA,30.0,0.001
2014-11-28 16:14:18,95.61,12.92,304.76,0.63,9.78,1822,0%,0mA,30.0,0.001
2014-11-28 16:14:24,85.80,11.60,314.58,4.44,22.37,1822,0%,0mA,30.0,0.001
2014-11-28 16:14:29,75.33,10.18,325.88,19.63,33.92,1822,0%,0mA,30.0,0.001
2014-11-28 16:14:34,86.32,11.67,317.52,29.83,48.10,1854,0%,0mA,30.0,0.001
2014-11-28 16:14:40,100.46,13.58,304.39,24.99,54.32,5850,0%,0mA,30.0,0.001
2014-11-28 16:14:45,99.41,13.44,300.77,27.86,46.41,6692,0%,0mA,30.0,0.001
2014-11-28 16:14:50,107.05,14.47,296.41,18.44,32.52,6707,0%,0mA,30.0,0.001
2014-11-28 16:14:56,119.42,16.14,285.62,32.65,54.92,6983,0%,0mA,30.0,0.001
2014-11-28 16:15:01,131.20,17.73,274.32,30.79,47.01,7093,0%,0mA,30.0,0.001
2014-11-28 16:15:07,132.86,17.96,272.12,18.15,29.29,7151,0%,0mA,30.0,0.001
2014-11-28 16:15:12,132.90,17.96,270.62,15.51,33.25,7151,0%,0mA,30.0,0.001
2014-11-28 16:15:17,116.62,15.76,287.07,19.95,34.49,7446,0%,0mA,30.0,0.001
2014-11-28 16:15:23,107.79,14.57,295.73,14.87,27.58,7490,0%,0mA,30.0,0.001
2014-11-28 16:15:28,112.64,15.22,290.48,22.94,37.04,7875,0%,0mA,30.0,0.001
2014-11-28 16:15:33,132.36,17.89,271.44,27.65,48.51,14284,0%,0mA,30.0,0.001
2014-11-28 16:15:39,124.01,16.76,275.83,17.01,26.22,14329,0%,0mA,30.0,0.001
2014-11-28 16:15:44,121.01,16.35,272.18,21.98,39.04,14597,0%,0mA,30.0,0.001
2014-11-28 16:15:50,112.73,15.24,276.55,29.42,44.85,14597,0%,0mA,30.0,0.001
2014-11-28 16:15:55,112.37,15.19,278.22,19.07,32.39,16958,0%,0mA,30.0,0.001
2014-11-28 16:16:00,115.80,15.65,273.02,22.10,34.78,22014,0%,0mA,30.0,0.001
2014-11-28 16:16:06,115.55,15.62,275.26,19.68,30.72,22105,0%,0mA,30.0,0.001
2014-11-28 16:16:11,113.02,15.28,278.65,18.44,30.23,22254,0%,0mA,30.0,0.001
2014-11-28 16:16:16,105.64,14.28,285.42,12.04,23.88,22284,0%,0mA,30.0,0.001
2014-11-28 16:16:22,111.84,15.12,281.03,20.32,33.95,22500,0%,0mA,30.0,0.001
2014-11-28 16:16:27,109.02,14.73,283.70,22.10,34.20,24632,0%,0mA,30.0,0.001
2014-11-28 16:16:32,105.96,14.32,283.51,13.11,24.77,24632,0%,0mA,30.0,0.001
2014-11-28 16:16:38,110.03,14.87,281.33,15.91,26.41,24784,0%,0mA,30.0,0.001
2014-11-28 16:16:43,113.90,15.39,279.91,21.18,40.46,25508,0%,0mA,30.0,0.001
2014-11-28 16:16:49,118.40,16.00,277.02,19.63,30.72,25830,0%,0mA,30.0,0.001
2014-11-28 16:16:54,114.62,15.49,280.84,14.19,25.80,25905,0%,0mA,30.0,0.001
2014-11-28 16:16:59,113.81,15.38,281.23,16.50,30.62,32718,0%,0mA,30.0,0.001
2014-11-28 16:17:05,115.14,15.56,278.42,13.68,27.11,32718,0%,0mA,30.0,0.001
2014-11-28 16:17:10,125.13,16.91,268.96,25.28,33.82,32718,0%,0mA,30.0,0.001
