************** DUMPSYS MEMINFO REPORT: tv.fun.settings
[dalvik.vm.heapgrowthlimit]: [96m]
[dalvik.vm.heapsize]: [256m]
[dalvik.vm.heapstartsize]: [8m]
Time,MemTotal(Pss),HeapSize,HeapAlloc,AppActivities,AppViews
16-06-22 12:11:38,46078K,42952K,29485K,4,261
16-06-22 12:11:45,46563K,42952K,30399K,5,348
16-06-22 12:11:50,47303K,42952K,21850K,3,224
16-06-22 12:11:55,45890K,42952K,28190K,3,224
16-06-22 12:12:01,45939K,42952K,28391K,3,224
16-06-22 12:12:06,45847K,42952K,28251K,3,224
16-06-22 12:12:12,45826K,42952K,28272K,3,224
16-06-22 12:12:17,45847K,42952K,28228K,3,224
16-06-22 12:12:23,46099K,42952K,28170K,3,224
16-06-22 12:12:28,45806K,42952K,28220K,3,224
16-06-22 12:12:34,45856K,42952K,28269K,3,224
16-06-22 12:12:39,45900K,42952K,28354K,3,224
16-06-22 12:12:45,45867K,42952K,28185K,3,224
16-06-22 12:12:50,45820K,42952K,28353K,3,224
16-06-22 12:12:56,45887K,42952K,28265K,3,224
16-06-22 12:13:02,45895K,42952K,28252K,3,224
16-06-22 12:13:08,45838K,42952K,28545K,4,250
16-06-22 12:13:14,45874K,42952K,28788K,4,250
16-06-22 12:13:19,46241K,42952K,21867K,4,250
16-06-22 12:13:24,39826K,42952K,22679K,5,276
16-06-22 12:13:30,46245K,42952K,28301K,3,224
16-06-22 12:13:36,46149K,42952K,28435K,3,224
16-06-22 12:13:41,45846K,42952K,28194K,3,224
16-06-22 12:13:47,45762K,42952K,28392K,3,224
16-06-22 12:13:52,46083K,42952K,28353K,3,224
16-06-22 12:13:58,46088K,42952K,28674K,4,250
16-06-22 12:14:03,46107K,42952K,28902K,4,250
16-06-22 12:14:09,46026K,42952K,28507K,4,250
16-06-22 12:14:15,45983K,42952K,28738K,4,250
16-06-22 12:14:21,46011K,42952K,28935K,4,250
16-06-22 12:14:26,46034K,42952K,29016K,4,250
16-06-22 12:14:32,46055K,42952K,29096K,4,250
16-06-22 12:14:37,46082K,42952K,29175K,4,250
16-06-22 12:14:43,46110K,42952K,29311K,4,250
16-06-22 12:14:49,46227K,42952K,21073K,3,212
16-06-22 12:14:54,39447K,42952K,22072K,3,224
16-06-22 12:14:59,45906K,42952K,28450K,3,224
16-06-22 12:15:05,45839K,42952K,28336K,3,224
16-06-22 12:15:12,45938K,42952K,28235K,3,224
16-06-22 12:15:17,46002K,42952K,28722K,4,250
16-06-22 12:15:23,46071K,42952K,28233K,3,224
16-06-22 12:15:28,46071K,42952K,28198K,3,224
16-06-22 12:15:34,46018K,42952K,28270K,3,224
16-06-22 12:15:39,46019K,42952K,28301K,3,224
16-06-22 12:15:45,45979K,42952K,28234K,3,224
16-06-22 12:15:51,46318K,42952K,28892K,4,250
16-06-22 12:15:57,46400K,42952K,28259K,3,224
16-06-22 12:16:03,46488K,42952K,22094K,4,250
16-06-22 12:16:08,45987K,42952K,28290K,3,224
16-06-22 12:16:13,45920K,42952K,28273K,3,224
16-06-22 12:16:19,46016K,42952K,28477K,3,224
