************** TOP CPU REPORT FOR PACKAGE: tv.fun.settings
  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
 2606  1  10% R    28 580460K 133640K  fg system   tv.fun.settings
 2606  0  20% R    28 579684K 134056K  fg system   tv.fun.settings
 2606  1  25% S    28 586848K 133304K  fg system   tv.fun.settings
 2606  0  18% R    28 586520K 124756K  fg system   tv.fun.settings
 2606  0  23% R    28 586520K 124744K  fg system   tv.fun.settings
 2606  0  22% R    28 580004K 124668K  fg system   tv.fun.settings
 2606  0  21% R    28 586680K 124860K  fg system   tv.fun.settings
 2606  0  14% R    28 579912K 124684K  fg system   tv.fun.settings
 2606  1  21% R    28 586520K 124788K  fg system   tv.fun.settings
 2606  1  23% R    28 586680K 124960K  fg system   tv.fun.settings
 2606  0  13% R    28 595848K 133324K  fg system   tv.fun.settings
 2606  0   6% R    28 587788K 132764K  fg system   tv.fun.settings
 2606  1  11% R    28 563484K 118284K  fg system   tv.fun.settings
 2606  0   9% R    28 579684K 124840K  fg system   tv.fun.settings
 2606  0  18% D    28 586392K 124632K  fg system   tv.fun.settings
 2606  0  19% R    28 580164K 124836K  fg system   tv.fun.settings
 2606  0   9% R    28 596088K 141092K  fg system   tv.fun.settings
 2606  0   5% R    28 571780K 132812K  fg system   tv.fun.settings
 2606  0  14% R    28 580200K 139556K  fg system   tv.fun.settings
 2606  1  18% R    28 580360K 139744K  fg system   tv.fun.settings
 2606  0  23% R    28 580360K 139788K  fg system   tv.fun.settings
 2606  1  22% R    28 580360K 139832K  fg system   tv.fun.settings
 2606  0  19% R    28 580360K 139860K  fg system   tv.fun.settings
 2606  1   5% S    28 571780K 126152K  fg system   tv.fun.settings
 2606  1  11% S    28 579880K 132680K  fg system   tv.fun.settings
 2606  0  19% R    28 580108K 132884K  fg system   tv.fun.settings
 2606  1   7% R    28 596532K 133604K  fg system   tv.fun.settings
 2606  1  11% S    28 586716K 133192K  fg system   tv.fun.settings
 2606  0  23% R    28 586556K 132980K  fg system   tv.fun.settings
 2606  1  18% R    28 586716K 133100K  fg system   tv.fun.settings
 2606  1   5% S    28 579880K 133140K  fg system   tv.fun.settings
 2606  0  13% R    28 580364K 125708K  fg system   tv.fun.settings
 2606  1  11% R    28 579880K 132792K  fg system   tv.fun.settings
 2606  1  20% R    28 580976K 134276K  fg system   tv.fun.settings
 2606  0   3% S    28 579880K 124736K  fg system   tv.fun.settings
 2606  0  11% R    28 580568K 125300K  fg system   tv.fun.settings
 2606  0   8% R    28 571780K 133284K  fg system   tv.fun.settings
 2606  1  18% R    28 586716K 133716K  fg system   tv.fun.settings
 2606  0  21% R    28 586716K 133080K  fg system   tv.fun.settings
 2606  0  21% R    28 586716K 133096K  fg system   tv.fun.settings
 2606  1  13% R    28 572196K 125156K  fg system   tv.fun.settings
 2606  1   9% R    28 579880K 126768K  fg system   tv.fun.settings
 2606  1  11% R    28 580236K 133508K  fg system   tv.fun.settings
 2606  1  20% R    28 562448K 133336K  fg system   tv.fun.settings
 2606  0   9% R    28 580060K 133228K  fg system   tv.fun.settings
 2606  1  14% R    28 581004K 134116K  fg system   tv.fun.settings
 2606  0   7% R    28 579844K 132780K  fg system   tv.fun.settings
 2606  0  12% R    28 579844K 133188K  fg system   tv.fun.settings
 2606  0  11% R    28 579844K 132980K  fg system   tv.fun.settings
 2606  0  20% R    28 580164K 139776K  fg system   tv.fun.settings
 2606  0  18% R    28 580164K 139816K  fg system   tv.fun.settings
 2606  1  19% R    28 580164K 139848K  fg system   tv.fun.settings
 2606  1  14% R    28 580004K 139892K  fg system   tv.fun.settings
 2606  0  18% S    28 596916K 140952K  fg system   tv.fun.settings
 2606  0   6% R    28 579876K 140100K  fg system   tv.fun.settings
 2606  0   4% R    28 571744K 125372K  fg system   tv.fun.settings
 2606  1  16% R    28 580164K 139504K  fg system   tv.fun.settings
 2606  0  16% R    28 580164K 139552K  fg system   tv.fun.settings
 2606  1  20% R    28 580164K 139588K  fg system   tv.fun.settings
 2606  1  19% R    28 580164K 139640K  fg system   tv.fun.settings
 2606  1  19% S    28 580324K 139876K  fg system   tv.fun.settings
 2606  0   5% R    28 579876K 140112K  fg system   tv.fun.settings
 2606  1  15% S    28 580324K 140768K  fg system   tv.fun.settings
 2606  1  15% S    28 580164K 140608K  fg system   tv.fun.settings
 2606  0  15% R    28 580324K 140768K  fg system   tv.fun.settings
 2606  0  15% R    28 580324K 140768K  fg system   tv.fun.settings
 2606  1  21% R    28 580324K 140768K  fg system   tv.fun.settings
 2606  0  14% S    28 580164K 140608K  fg system   tv.fun.settings
 2606  0  22% R    28 580324K 140784K  fg system   tv.fun.settings
 2606  0  17% R    28 580324K 140852K  fg system   tv.fun.settings
 2606  1  20% R    28 580324K 140944K  fg system   tv.fun.settings
 2606  0  14% S    28 580324K 141236K  fg system   tv.fun.settings
