User,System,IOW,IRQ
46%,39%,0%,0%
41%,38%,0%,1%
44%,28%,0%,0%
48%,43%,0%,1%
48%,36%,0%,0%
41%,30%,0%,0%
57%,34%,0%,0%
49%,41%,0%,0%
46%,37%,0%,0%
43%,27%,0%,0%
46%,47%,0%,0%
44%,37%,0%,0%
44%,31%,0%,0%
44%,29%,0%,0%
46%,42%,0%,0%
42%,42%,0%,0%
50%,31%,0%,0%
40%,41%,0%,0%
41%,43%,0%,0%
39%,49%,0%,0%
40%,33%,0%,0%
38%,26%,0%,0%
41%,33%,0%,0%
46%,44%,0%,0%
44%,39%,0%,0%
46%,23%,0%,0%
47%,42%,0%,0%
44%,44%,0%,0%
47%,28%,0%,0%
39%,31%,0%,0%
50%,46%,0%,0%
44%,36%,0%,0%
47%,27%,0%,0%
40%,48%,0%,0%
18%,31%,0%,0%
27%,28%,0%,0%
45%,31%,0%,0%
35%,44%,0%,0%
42%,37%,0%,0%
40%,25%,0%,0%
47%,34%,0%,0%
41%,46%,0%,0%
43%,38%,0%,0%
37%,23%,0%,0%
41%,41%,0%,0%
42%,43%,0%,0%
47%,29%,0%,0%
46%,37%,0%,0%
47%,46%,0%,0%
42%,26%,0%,0%
50%,36%,0%,0%
36%,43%,0%,0%
50%,37%,0%,0%
51%,34%,0%,0%
45%,41%,0%,0%
46%,41%,0%,0%
41%,28%,0%,0%
44%,39%,0%,0%
39%,41%,0%,0%
46%,31%,0%,0%
39%,33%,0%,0%
43%,45%,0%,0%
49%,34%,0%,0%
45%,32%,0%,0%
40%,43%,0%,0%
40%,43%,0%,0%
41%,25%,0%,0%
47%,44%,0%,0%
40%,47%,0%,0%
44%,30%,0%,0%
37%,35%,0%,0%
41%,47%,0%,0%
