****************************** TOP CPU REPORT FOR PACKAGE: START
### package_name=com.bestv.ott monitor_interval=1
*TIME  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
15:46:26    3372  1  25% R    70 675008K 175220K  fg system   com.bestv.ott
15:46:30    3372  1  23% R    71 652396K 194552K  fg system   com.bestv.ott
15:46:34    3372  1  13% R    72 661676K 171824K  fg system   com.bestv.ott
15:46:39    3372  0  25% S    75 652360K 186676K  fg system   com.bestv.ott
15:46:43    3372  0  31% S    74 684828K 208268K  fg system   com.bestv.ott
15:46:47    3372  0  13% R    74 675160K 201540K  fg system   com.bestv.ott
15:46:52    3372  0  11% R    74 675160K 201544K  fg system   com.bestv.ott
15:46:56    3372  0  12% R    74 675224K 201608K  fg system   com.bestv.ott
15:47:00    3372  1  14% R    74 675416K 201804K  fg system   com.bestv.ott
15:47:05    3372  0   9% S    74 674840K 201228K  fg system   com.bestv.ott
15:47:09    3372  1  11% S    74 675224K 201616K  fg system   com.bestv.ott
15:47:13    3372  1  17% R    74 675224K 201620K  fg system   com.bestv.ott
15:47:17    3372  1  10% R    74 675224K 201620K  fg system   com.bestv.ott
15:47:22    3372  1  11% R    74 675224K 201620K  fg system   com.bestv.ott
15:47:26    3372  0  14% R    74 675160K 201556K  fg system   com.bestv.ott
15:47:30    3372  0  11% S    74 675224K 201624K  fg system   com.bestv.ott
15:47:35    3372  0  10% R    74 674840K 201240K  fg system   com.bestv.ott
15:47:39    3372  0  10% R    72 673112K 201580K  fg system   com.bestv.ott
15:47:43    3372  1  17% R    68 668984K 201580K  fg system   com.bestv.ott
15:47:48    3372  1  31% R    82 687560K 202584K  fg system   com.bestv.ott
15:47:52    3372  0   6% S    83 717172K 209732K  fg system   com.bestv.ott
15:47:56    3372  0   2% S    82 716116K 198028K  fg system   com.bestv.ott
15:48:01    3372  1  19% R    82 690232K 195072K  fg system   com.bestv.ott
15:48:05    3372  0   4% S    82 686080K 196392K  fg system   com.bestv.ott
15:48:09    3372  0  25% R    82 685856K 218104K  fg system   com.bestv.ott
15:48:13    3372  1  24% R    87 671088K 225536K  fg system   com.bestv.ott
15:48:18    3372  0  18% S    87 694688K 224300K  fg system   com.bestv.ott
15:48:22    3372  0  19% R    89 686956K 224844K  fg system   com.bestv.ott
15:48:26    3372  0  13% R    90 704228K 229780K  fg system   com.bestv.ott
15:48:31    3372  1  19% S    90 707988K 238096K  fg system   com.bestv.ott
15:48:35    3372  1   6% R    90 709432K 238564K  fg system   com.bestv.ott
15:48:39    3372  0   6% S    90 709432K 230644K  fg system   com.bestv.ott
15:48:43    3372  0   5% S    90 709432K 223492K  fg system   com.bestv.ott
15:48:48    3372  1  24% S    88 672712K 231028K  fg system   com.bestv.ott
15:48:52    3372  1  30% S    89 694808K 210300K  fg system   com.bestv.ott
15:48:56    3372  0  15% R    90 696544K 212964K  fg system   com.bestv.ott
15:49:01    3372  0  11% S    90 698016K 217564K  fg system   com.bestv.ott
15:49:05    3372  1  24% R    88 708008K 243672K  fg system   com.bestv.ott
15:49:09    3372  0  21% S    88 704300K 227032K  fg system   com.bestv.ott
15:49:14    3372  1   7% S    85 661056K 205000K  bg system   com.bestv.ott
15:49:18    3372  1   1% S    85 661056K 205000K  bg system   com.bestv.ott
15:49:22    3372  0   1% S    85 661056K 205000K  bg system   com.bestv.ott
15:49:26    3372  0   7% S    86 694552K 221524K  fg system   com.bestv.ott
15:49:31    3372  1   7% S    81 722192K 222104K  fg system   com.bestv.ott
15:49:35    3372  0   9% S    81 722104K 222144K  fg system   com.bestv.ott
15:49:39    3372  0  22% R    81 698096K 223116K  fg system   com.bestv.ott
15:49:44    3372  0  32% R    81 710324K 248428K  fg system   com.bestv.ott
15:49:48    3372  0  18% S    81 746004K 264900K  fg system   com.bestv.ott
15:49:52    3372  0  14% S    81 723848K 228640K  fg system   com.bestv.ott
15:49:56    3372  1  23% R   100 711712K 229108K  fg system   com.bestv.ott
15:50:01    3372  0  26% R   100 713620K 234000K  fg system   com.bestv.ott
15:50:05    3372  1  18% R   100 693468K 218300K  fg system   com.bestv.ott
15:50:09    3372  0  27% R   100 714748K 229388K  fg system   com.bestv.ott
15:50:14    3372  0  29% R   100 715036K 229680K  fg system   com.bestv.ott
15:50:18    3372  0  17% R   100 710144K 221124K  fg system   com.bestv.ott
15:50:22    3372  0  27% R   100 710176K 221156K  fg system   com.bestv.ott
15:50:26    3372  0  14% S   100 709760K 220740K  fg system   com.bestv.ott
15:50:31    3372  1  21% R   101 712892K 221256K  fg system   com.bestv.ott
15:50:35    3372  0  15% S   101 711884K 223292K  fg system   com.bestv.ott
15:50:39    3372  0  33% R   100 746688K 240512K  fg system   com.bestv.ott
15:50:44    3372  0  17% R   100 719088K 234748K  fg system   com.bestv.ott
15:50:48    3372  0  32% S   101 712828K 233900K  fg system   com.bestv.ott
15:50:52    3372  0  34% S   101 724636K 255100K  fg system   com.bestv.ott
15:50:57    3372  1  15% S    87 697140K 250420K  fg system   com.bestv.ott
15:51:01    3372  0  12% R    87 696460K 250548K  fg system   com.bestv.ott
15:51:05    3372  1  18% R    87 696300K 250392K  fg system   com.bestv.ott
15:51:09    3372  1  14% R    87 696364K 250456K  fg system   com.bestv.ott
15:51:14    3372  1  13% R    87 696332K 250428K  fg system   com.bestv.ott
15:51:18    3372  0  15% R    87 696044K 250140K  fg system   com.bestv.ott
15:51:22    3372  0  17% S    87 736104K 263660K  fg system   com.bestv.ott
15:51:27    3372  1  18% R    87 672672K 262428K  fg system   com.bestv.ott
15:51:31    3372  1  20% R    89 701348K 243688K  fg system   com.bestv.ott
15:51:35    3372  0  18% S    91 690668K 231596K  fg system   com.bestv.ott
15:51:40    3372  1  10% R    90 688368K 202420K  fg system   com.bestv.ott
15:51:44    3372  0  15% R    90 692668K 223548K  fg system   com.bestv.ott
15:51:48    3372  1  22% R    91 669516K 224648K  fg system   com.bestv.ott
15:51:53    3372  1  22% R    91 697864K 229100K  fg system   com.bestv.ott
15:51:57    3372  0  24% S    91 703192K 228880K  fg system   com.bestv.ott
15:52:01    3372  0  19% R    91 689028K 207468K  fg system   com.bestv.ott
15:52:05    3372  0  12% R    91 689184K 207672K  fg system   com.bestv.ott
15:52:10    3372  0  10% S    91 688608K 207096K  fg system   com.bestv.ott
15:52:14    3372  1  19% R    91 692228K 207844K  fg system   com.bestv.ott
15:52:18    3372  0  22% S    91 703968K 217732K  fg system   com.bestv.ott
15:52:23    3372  0  17% R    91 688992K 199784K  fg system   com.bestv.ott
15:52:27    3372  0  15% R    91 689184K 200000K  fg system   com.bestv.ott
15:52:31    3372  1  17% S    84 681904K 199948K  fg system   com.bestv.ott
15:52:35    3372  0  20% R    77 693020K 218104K  fg system   com.bestv.ott
15:52:40    3372  0  29% R    79 680104K 205504K  fg system   com.bestv.ott
15:52:44    3372  0  19% R    80 682504K 209396K  fg system   com.bestv.ott
15:52:48    3372  0  15% R    80 691048K 214712K  fg system   com.bestv.ott
15:52:53    3372  1  18% S    79 689744K 217940K  fg system   com.bestv.ott
15:52:57    3372  0  11% S    79 696104K 224836K  fg system   com.bestv.ott
15:53:01    3372  1  13% R    80 703236K 231796K  fg system   com.bestv.ott
15:53:05    3372  0  11% S    79 704364K 216120K  fg system   com.bestv.ott
15:53:10    3372  0  11% S    79 706312K 218376K  fg system   com.bestv.ott
15:53:14    3372  0  13% R    79 707580K 219956K  fg system   com.bestv.ott
15:53:18    3372  0  22% R    73 737868K 250580K  fg system   com.bestv.ott
15:53:23    3372  0  15% R    73 700724K 234144K  fg system   com.bestv.ott
15:53:27    3372  0  11% S    73 733536K 232236K  fg system   com.bestv.ott
15:53:31    3372  1   8% S    73 734236K 249184K  fg system   com.bestv.ott
15:53:35    3372  0   4% S    73 733268K 234312K  fg system   com.bestv.ott
15:53:40    3372  0   5% S    73 733244K 234300K  fg system   com.bestv.ott
15:53:44    3372  0   8% S    73 733280K 234332K  fg system   com.bestv.ott
15:53:48    3372  0  23% R    74 710336K 239512K  fg system   com.bestv.ott
15:53:53    3372  0  18% R    75 702892K 246648K  fg system   com.bestv.ott
15:53:57    3372  0  13% S    75 703020K 240652K  fg system   com.bestv.ott
15:54:01    3372  0  13% R    75 702988K 240624K  fg system   com.bestv.ott
15:54:05    3372  1  14% R    75 702988K 240624K  fg system   com.bestv.ott
15:54:10    3372  0  16% S    75 706096K 240884K  fg system   com.bestv.ott
15:54:14    3372  0  19% S    75 693308K 250032K  fg system   com.bestv.ott
