****************************** PROCRANK MEMORY REPORT FOR PACKAGE: START
### package_name=com.bestv.ott monitor_interval=1
*VSS - Virtual Set Size,    RSS - Resident Set Size,    PSS - Proportional Set Size,    USS - Unique Set Size
*Time   PID       Vss      Rss      Pss      Uss  cmdline
15:46:27   3372   658272K  126344K  102243K   99664K  com.bestv.ott
15:46:30   3372   675004K  131288K  107158K  104572K  com.bestv.ott
15:46:32   3372   675012K  132664K  108282K  105496K  com.bestv.ott
15:46:35   3372   672572K  133028K  108542K  105680K  com.bestv.ott
15:46:39   3372   661512K  131968K  107860K  104896K  com.bestv.ott
15:46:42   3372   653656K  143668K  119563K  116596K  com.bestv.ott
15:46:44   3372   680064K  158388K  134299K  131324K  com.bestv.ott
15:46:47   3372   684824K  158816K  134728K  131752K  com.bestv.ott
15:46:50   3372   675156K  154616K  130528K  127552K  com.bestv.ott
15:46:52   3372   675156K  154668K  130580K  127604K  com.bestv.ott
15:46:55   3372   675156K  154672K  130584K  127608K  com.bestv.ott
15:46:57   3372   675348K  154676K  130580K  127600K  com.bestv.ott
15:47:00   3372   675220K  154676K  130580K  127600K  com.bestv.ott
15:47:03   3372   675220K  154680K  130584K  127604K  com.bestv.ott
15:47:06   3372   674900K  154676K  130580K  127600K  com.bestv.ott
15:47:08   3372   674836K  154672K  130576K  127596K  com.bestv.ott
15:47:11   3372   675156K  154680K  130582K  127600K  com.bestv.ott
15:47:14   3372   675188K  154684K  130586K  127604K  com.bestv.ott
15:47:16   3372   675220K  154688K  130590K  127608K  com.bestv.ott
15:47:19   3372   675220K  154688K  130590K  127608K  com.bestv.ott
15:47:22   3372   675412K  154688K  130590K  127608K  com.bestv.ott
15:47:25   3372   674836K  154680K  130582K  127600K  com.bestv.ott
15:47:27   3372   675220K  154688K  130590K  127608K  com.bestv.ott
15:47:30   3372   675156K  154684K  130586K  127604K  com.bestv.ott
15:47:33   3372   675188K  154688K  130588K  127604K  com.bestv.ott
15:47:35   3372   675220K  154692K  130592K  127608K  com.bestv.ott
15:47:38   3372   674836K  154684K  130584K  127600K  com.bestv.ott
15:47:41   3372   674900K  154676K  130576K  127592K  com.bestv.ott
15:47:43   3372   669700K  154624K  130524K  127540K  com.bestv.ott
15:47:46   3372   668948K  154608K  130508K  127524K  com.bestv.ott
15:47:49   3372   674368K  158396K  134301K  131316K  com.bestv.ott
15:47:52   3372   688564K  160904K  136812K  133824K  com.bestv.ott
15:47:55   3372   717168K  160008K  135865K  132844K  com.bestv.ott
15:47:57   3372   716112K  148052K  123909K  120888K  com.bestv.ott
15:48:00   3372   716112K  148052K  123909K  120888K  com.bestv.ott
15:48:03   3372   659700K  146864K  122721K  119700K  com.bestv.ott
15:48:05   3372   690564K  154364K  130206K  127176K  com.bestv.ott
15:48:08   3372   686076K  153276K  129125K  126100K  com.bestv.ott
15:48:11   3372   685816K  153896K  129733K  126704K  com.bestv.ott
15:48:14   3372   686696K  154296K  130134K  127104K  com.bestv.ott
15:48:16   3372   672212K  154872K  130671K  127644K  com.bestv.ott
15:48:19   3372   681404K  168384K  144263K  141240K  com.bestv.ott
15:48:22   3372   691644K  167272K  143151K  140128K  com.bestv.ott
15:48:25   3372   699476K  161352K  137216K  134184K  com.bestv.ott
15:48:27   3372   694592K  164056K  139918K  136884K  com.bestv.ott
15:48:30   3372   704484K  166896K  142754K  139716K  com.bestv.ott
15:48:33   3372   705944K  170564K  146421K  143380K  com.bestv.ott
15:48:36   3372   709428K  177444K  153301K  150260K  com.bestv.ott
15:48:39   3372   709428K  175668K  151525K  148484K  com.bestv.ott
15:48:42   3372   709428K  167712K  143569K  140528K  com.bestv.ott
15:48:45   3372   709428K  167716K  143573K  140532K  com.bestv.ott
15:48:48   3372   708388K  160612K  136469K  133428K  com.bestv.ott
15:48:50   3372   678404K  155016K  130950K  127980K  com.bestv.ott
15:48:53   3372   699120K  156252K  132184K  129212K  com.bestv.ott
15:48:56   3372   695844K  155792K  131720K  128748K  com.bestv.ott
15:48:59   3372   694636K  155432K  131364K  128392K  com.bestv.ott
15:49:02   3372   695784K  160560K  136490K  133516K  com.bestv.ott
15:49:05   3372   698012K  162820K  138756K  135780K  com.bestv.ott
15:49:07   3372   697636K  172644K  148599K  145620K  com.bestv.ott
15:49:10   3372   708164K  172688K  148643K  145664K  com.bestv.ott
15:49:13   3372   702232K  162380K  138335K  135356K  com.bestv.ott
15:49:16   3372   703920K  162100K  138055K  135076K  com.bestv.ott
15:49:19   3372   661052K  161488K  137012K  134248K  com.bestv.ott
15:49:22   3372   661052K  161488K  137010K  134248K  com.bestv.ott
15:49:24   3372   661052K  161488K  137002K  134240K  com.bestv.ott
15:49:27   3372   661052K  161488K  137001K  134240K  com.bestv.ott
15:49:30   3372   694548K  161972K  137540K  134740K  com.bestv.ott
15:49:32   3372   706960K  162584K  138152K  135352K  com.bestv.ott
15:49:35   3372   722508K  162380K  137948K  135148K  com.bestv.ott
15:49:38   3372   722612K  162448K  138014K  135216K  com.bestv.ott
15:49:41   3372   722300K  162304K  137859K  135060K  com.bestv.ott
